# distance_m,vel_mps
1539.43852,43.95854
1544.43670,44.30001
1549.43488,44.63202
1554.43305,44.95501
1559.43123,45.26939
1564.42941,45.57553
1569.42759,45.87379
1574.42576,46.16449
1579.42394,46.44795
1584.42212,46.72446
1589.42029,46.99428
1594.41847,47.25768
1599.41665,47.51488
1604.41483,47.76613
1609.41300,48.01163
1614.41118,48.25159
1619.40936,48.48620
1624.40753,48.71564
1629.40571,48.94008
1634.40389,49.15969
1639.40206,49.37462
1644.40024,49.58502
1649.39842,49.79103
1654.39660,49.99279
1659.39477,50.19043
1664.39295,50.38407
1669.39113,50.57382
1674.38930,50.75980
1679.38748,50.94211
1684.38566,51.12087
1689.38383,51.29616
1694.38201,51.46808
1699.38019,51.63673
1704.37837,51.80219
1709.37654,51.96454
1714.37472,52.12387
1719.37290,52.28026
1724.37107,52.43377
1729.36925,52.58448
1734.36743,52.73246
1739.36560,52.87778
1744.36378,53.02050
1749.36196,53.16069
1754.36014,53.29840
1759.35831,53.43370
1764.35649,53.56663
1769.35467,53.69726
1774.35284,53.82563
1779.35102,53.95181
1784.34920,54.07583
1789.34738,54.19774
1794.34555,54.31760
1799.34373,54.43545
1804.34191,54.55132
1809.34008,54.66527
1814.33826,54.77733
1819.33644,54.88755
1824.33461,54.99596
1829.33279,55.10260
1834.33097,55.20750
1839.32915,55.31071
1844.32732,55.41226
1849.32550,55.51217
1854.32368,55.61049
1859.32185,55.70725
1864.32003,55.80247
1869.31821,55.89618
1874.31638,55.98842
1879.31456,56.07922
1884.31274,56.16859
1889.31092,56.25658
1894.30909,56.34320
1899.30727,56.42848
1904.30545,56.51245
1909.30362,56.59513
1914.30180,56.67654
1919.29998,56.75672
1924.29815,55.28263
1929.29633,53.57892
1934.29451,51.93612
1939.29269,50.33286
1944.29086,48.76322
1949.28904,47.22747
1954.28722,45.73547
1959.28539,44.29274
1964.28357,42.90285
1969.28175,41.56041
1974.27993,40.25781
1979.27810,38.99615
1984.27628,37.75549
1989.27446,36.52070
1994.27263,35.28055
1999.27081,33.97385
2004.26899,32.90000
2009.26716,32.30000
2014.26534,32.86881
2019.26352,33.66711
2024.26170,34.41872
2029.25987,35.12902
2034.25805,35.80247
2039.25623,36.44279
2044.25440,37.05313
2049.25258,37.63617
2054.25076,38.19424
2059.24893,38.72935
2064.24711,39.24327
2069.24529,39.68408
2074.24347,40.11632
2079.24164,40.54031
2084.23982,40.95634
2089.23800,41.36468
2094.23617,41.76559
2099.23435,42.15931
2104.23253,42.54606
2109.23070,42.92608
2114.22888,43.29732
2119.22706,43.57024
2124.22524,42.91459
2129.22341,42.30000
2134.22159,41.90000
2139.21977,41.70000
2144.21794,42.04378
2149.21612,42.40772
2154.21430,42.79013
2159.21248,43.16543
2164.21065,43.52961
2169.20883,43.88322
2174.20701,44.22680
2179.20518,44.56083
2184.20336,44.88574
2189.20154,45.20195
2194.19971,45.50984
2199.19789,45.80978
2204.19607,46.10210
2209.19425,46.38710
2214.19242,46.66509
2219.19060,45.72027
2224.18878,43.84105
2229.18695,41.88582
2234.18513,39.85545
2239.18331,37.81538
2244.18148,35.82654
2249.17966,33.95258
2254.17784,32.18663
2259.17602,30.50979
2264.17419,28.92106
2269.17237,27.40225
2274.17055,25.93427
2279.16872,24.49070
2284.16690,23.10511
2289.16508,21.70000
2294.16325,20.70000
2299.16143,20.10000
2304.15961,20.50000
2309.15779,20.90000
2314.15596,21.99492
2319.15414,22.91482
2324.15232,22.90000
2329.15049,23.85151
2334.14867,24.68964
2339.14685,25.70144
2344.14503,26.96445
2349.14320,28.23157
2354.14138,29.37525
2359.13956,30.41982
2364.13773,31.38263
2369.13591,31.72977
2374.13409,29.55622
2379.13226,27.59624
2384.13044,25.83055
2389.12862,24.22702
2394.12680,22.77719
2399.12497,21.50000
2404.12315,20.50000
2409.12133,19.70000
2414.11950,19.10000
2419.11768,19.30000
2424.11586,20.54540
2429.11403,21.50970
2434.11221,22.56080
2439.11039,23.59892
2444.10857,24.61306
2449.10674,25.60388
2454.10492,26.57610
2459.10310,27.53130
2464.10127,28.47428
2469.09945,29.42573
2474.09763,30.41493
2479.09580,31.37811
2484.09398,32.27237
2489.09216,33.10762
2494.09034,33.89163
2499.08851,34.63063
2504.08669,35.32973
2509.08487,35.99313
2514.08304,36.62437
2519.08122,37.22646
2524.07940,37.80197
2529.07758,38.35313
2534.07575,38.88186
2539.07393,39.38988
2544.07211,39.82782
2549.07028,40.25731
