# distance_m,vel_mps
1538.97012,22.44797
1543.96678,21.12686
1548.96343,19.74757
1553.96009,18.30000
1558.95675,17.50000
1563.95340,17.10000
1568.95006,17.30000
1573.94671,18.70246
1578.94337,19.89049
1583.94003,21.25988
1588.93668,22.66832
1593.93334,24.07740
1598.93000,25.51594
1603.92665,26.91915
1608.92331,28.19060
1613.91996,29.33770
1618.91662,30.38504
1623.91328,31.35016
1628.90993,32.24607
1633.90659,33.08274
1638.90325,33.86799
1643.89990,34.60809
1648.89656,35.30816
1653.89321,35.97243
1658.88987,36.60446
1663.88653,37.20727
1668.88318,37.78344
1673.87984,38.33519
1678.87650,38.86448
1683.87315,39.37302
1688.86981,39.81116
1693.86646,40.24083
1698.86312,40.66234
1703.85978,41.07598
1708.85643,41.48201
1713.85309,41.88068
1718.84974,42.27223
1723.84640,42.65689
1728.84306,43.03488
1733.83971,43.40278
1738.83637,43.75994
1743.83303,44.10690
1748.82968,44.44413
1753.82634,44.77210
1758.82299,45.09124
1763.81965,45.40194
1768.81631,45.70456
1773.81296,45.99944
1778.80962,46.28692
1783.80628,46.56728
1788.80293,46.84080
1793.79959,47.10776
1798.79624,47.36840
1803.79290,47.62296
1808.78956,47.87165
1813.78621,48.11469
1818.78287,48.35227
1823.77953,48.58458
1828.77618,48.81180
1833.77284,49.03409
1838.76949,49.25163
1843.76615,49.46455
1848.76281,49.67301
1853.75946,49.87714
1858.75612,50.07707
1863.75278,50.27294
1868.74943,50.46486
1873.74609,50.65294
1878.74274,50.83730
1883.73940,51.01804
1888.73606,51.19527
1893.73271,51.36908
1898.72937,51.53956
1903.72603,51.70680
1908.72268,51.87089
1913.71934,51.66092
1918.71599,50.42045
1923.71265,49.26490
1928.70931,48.25630
1933.70596,47.47868
1938.70262,46.90000
1943.69928,47.15906
1948.69593,47.41850
1953.69259,47.67189
1958.68924,47.27597
1963.68590,46.70000
1968.68256,46.97033
1973.67921,46.50000
1978.67587,46.59980
1983.67253,46.10000
1988.66918,46.19078
1993.66584,45.70000
1998.66249,45.97033
2003.65915,46.19243
2008.65581,46.43193
2013.65246,46.70874
2018.64912,46.97886
2023.64578,46.78471
2028.64243,46.29374
2033.63909,45.70000
2038.63574,45.10000
2043.63240,44.50000
2048.62906,43.90000
2053.62571,43.30000
2058.62237,42.70000
2063.61903,42.30000
2068.61568,42.65510
2073.61234,42.95351
2078.60899,43.21985
2083.60565,42.70000
2088.60231,43.04725
2093.59896,43.34136
2098.59562,43.59986
2103.59228,43.90507
2108.58893,44.24793
2113.58559,44.58127
2118.58224,44.90553
2123.57890,45.22112
2128.57556,45.52842
2133.57221,45.82779
2138.56887,46.11957
2143.56553,46.40405
2148.56218,46.68155
2153.55884,46.95232
2158.55549,47.21663
2163.55215,47.47472
2168.54881,47.72681
2173.54546,47.97313
2178.54212,48.21388
2183.53877,48.44926
2188.53543,48.67943
2193.53209,48.90459
2198.52874,49.12489
2203.52540,49.34050
2208.52206,49.55155
2213.51871,48.53442
2218.51537,47.05985
2223.51202,45.63472
2228.50868,44.26163
2233.50534,42.94699
2238.50199,41.69711
2243.49865,40.51914
2248.49531,39.41092
2253.49196,38.39097
2258.48862,37.46431
2263.48527,36.60951
2268.48193,35.77871
2273.47859,34.94006
2278.47524,34.10259
2283.47190,33.27673
2288.46856,32.47786
2293.46521,31.70000
2298.46187,31.30000
2303.45852,31.92380
2308.45518,31.50000
2313.45184,31.50000
2318.44849,31.10000
2323.44515,31.10000
2328.44181,31.72161
2333.43846,32.19175
2338.43512,32.64143
2343.43177,33.08953
2348.42843,33.52700
2353.42509,33.30000
2358.42174,33.84321
2363.41840,34.29557
2368.41506,34.75886
2373.41171,35.33264
2378.40837,35.99570
2383.40502,36.62663
2388.40168,37.22844
2393.39834,37.80369
2398.39499,38.35460
2403.39165,38.88312
2408.38831,39.39094
2413.38496,39.82873
2418.38162,40.25806
2423.37827,40.67925
2428.37493,40.06312
2433.37159,38.11087
2438.36824,36.28756
2443.36490,34.59341
2448.36156,33.02967
2453.35821,31.62945
2458.35487,30.39947
2463.35152,29.32790
2468.34818,28.12434
2473.34484,26.68959
2478.34149,25.20887
2483.33815,23.90000
2488.33481,22.90000
2493.33146,22.30000
2498.32812,22.10000
2503.32477,23.11846
2508.32143,23.84363
2513.31809,24.71530
2518.31474,25.59359
2523.31140,26.43483
2528.30806,27.27139
2533.30471,28.14579
2538.30137,29.06266
2543.29802,30.01006
2548.29468,30.93979
2553.29134,31.80259
2558.28799,32.57120
2563.28465,33.21180
2568.28131,32.90000
2573.27796,32.90000
2578.27462,32.70000
2583.27127,33.17634
2588.26793,32.50000
2593.26459,33.06289
2598.26124,33.51655
2603.25790,34.15642
2608.25455,34.88063
2613.25121,35.56654
2618.24787,36.21808
2623.24452,36.83859
2628.24118,37.43091
2633.23784,37.99748
2638.23449,38.54042
2643.23115,39.06157
2648.22780,39.56257
2653.22446,39.99703
2658.22112,40.42315
2663.21777,40.84124
2668.21443,41.25157
2673.21109,41.65441
2678.20774,42.04999
2683.20440,42.43855
2688.20105,42.82031
2693.19771,43.19459
2698.19437,43.55780
2703.19102,43.91051
2708.18768,44.25322
2713.18434,44.58641
2718.18099,44.91053
2723.17765,45.22599
2728.17430,45.53317
2733.17096,45.83242
2738.16762,46.12407
2743.16427,46.40845
2748.16093,46.68583
2753.15759,46.95650
2758.15424,47.22071
2763.15090,47.47871
2768.14755,47.73071
2773.14421,47.97694
2778.14087,48.21761
2783.13752,48.45290
2788.13418,48.68300
2793.13084,48.90808
2798.12749,49.12830
2803.12415,49.34383
2808.12080,49.55482
2813.11746,49.76139
2818.11412,49.96370
2823.11077,50.16187
2828.10743,50.35602
2833.10409,50.54628
2838.10074,50.73275
2843.09740,50.91554
2848.09405,51.09475
2853.09071,51.27050
2858.08737,51.44286
2863.08402,51.61194
2868.08068,51.77781
2873.07734,51.94057
2878.07399,52.10030
2883.07065,52.25707
2888.06730,52.41096
2893.06396,52.56204
2898.06062,52.71038
2903.05727,52.85605
2908.05393,52.99912
2913.05059,53.13964
2918.04724,53.27768
2923.04390,53.41330
2928.04055,53.54655
2933.03721,53.67748
2938.03387,53.80616
2943.03052,53.93263
2948.02718,54.05694
2953.02384,54.17913
2958.02049,54.29927
2963.01715,54.41739
2968.01380,54.53353
2973.01046,54.64774
2978.00712,54.76005
2983.00377,52.90122
2988.00043,50.82432
2992.99709,48.72620
2997.99374,46.60291
3002.99040,44.44851
3007.98705,42.25579
3012.98371,40.01613
3017.98037,37.71792
3022.97702,35.35410
3027.97368,32.93429
3032.97033,30.51111
3037.96699,28.17066
3042.96365,26.02508
3047.96030,24.09385
3052.95696,22.38969
3057.95362,20.72438
3062.95027,19.08291
3067.94693,17.50000
3072.94358,16.30000
3077.94024,17.10000
3082.93690,18.46889
3087.93355,19.90349
3092.93021,21.66956
3097.92687,23.34231
3102.92352,24.88855
3107.92018,26.33085
3112.91683,27.66542
3117.91349,26.06266
3122.91015,23.88378
3127.90680,22.08173
3132.90346,20.70000
3137.90012,20.30000
3142.89677,20.70000
3147.89343,21.83789
3152.89008,22.77566
3157.88674,23.62073
3162.88340,24.43575
3167.88005,25.28768
3172.87671,26.16187
3177.87337,27.00608
3182.87002,27.81046
3187.86668,28.56255
3192.86333,29.28564
3197.85999,29.98886
3202.85665,30.67780
3207.85330,31.36209
3212.84996,32.02490
3217.84662,32.65404
3222.84327,33.26075
3227.83993,33.83177
3232.83658,34.36540
3237.83324,34.85891
3242.82990,35.30941
3247.82655,35.10000
3252.82321,35.59922
3257.81987,35.30000
3262.81652,35.79764
3267.81318,35.30000
3272.80983,34.70000
3277.80649,34.30000
3282.80315,33.90000
3287.79980,34.45061
3292.79646,34.10000
3297.79312,34.64596
3302.78977,35.10758
3307.78643,34.90000
3312.78308,35.40534
3317.77974,35.87776
3322.77640,36.37792
3327.77305,36.90100
3332.76971,37.43237
3337.76637,37.95490
3342.76302,38.46672
3347.75968,38.96580
3352.75633,39.45013
3357.75299,39.88677
3362.74965,40.31499
3367.74630,40.71143
3372.74296,41.07106
3377.73962,41.37820
3382.73627,40.90000
3387.73293,41.27265
3392.72958,41.60112
3397.72624,41.94504
3402.72290,42.33067
3407.71955,42.71431
3412.71621,43.09130
3417.71287,43.45755
3422.70952,43.81313
3427.70618,44.15858
3432.70283,44.49438
3437.69949,44.82099
3442.69615,45.13883
3447.69280,45.44827
3452.68946,45.74970
3457.68611,46.04345
3462.68277,46.32982
3467.67943,46.60913
3472.67608,46.88165
3477.67274,47.14763
3482.66940,47.40734
3487.66605,47.66099
3492.66271,47.90881
3497.65936,48.15101
3502.65602,48.38778
3507.65268,48.61931
3512.64933,48.84577
3517.64599,49.06734
3522.64265,49.28416
3527.63930,49.49640
3532.63596,49.70419
3537.63261,49.90768
3542.62927,50.10699
3547.62593,50.30225
3552.62258,50.49358
3557.61924,50.68110
3562.61590,50.86490
3567.61255,51.04511
3572.60921,51.22181
3577.60586,51.39510
3582.60252,51.56509
3587.59918,51.73185
3592.59583,51.89547
3597.59249,52.05603
3602.58915,52.21362
3607.58580,52.36831
3612.58246,52.52016
3617.57911,52.66926
3622.57577,52.81567
3627.57243,52.95946
3632.56908,53.10069
3637.56574,53.23941
3642.56240,53.37570
3647.55905,53.50960
3652.55571,53.64118
3657.55236,53.77048
3662.54902,53.89756
3667.54568,54.02247
3672.54233,54.14525
3677.53899,54.26596
3682.53565,54.38463
3687.53230,54.50132
3692.52896,54.61606
3697.52561,54.72891
3702.52227,54.83988
3707.51893,54.94904
3712.51558,55.05641
3717.51224,55.16204
3722.50890,55.26595
3727.50555,55.36818
3732.50221,55.46877
3737.49886,55.56776
3742.49552,55.66516
3747.49218,55.76102
3752.48883,55.85536
3757.48549,55.94821
3762.48215,56.03961
3767.47880,56.12958
3772.47546,56.21814
3777.47211,56.30533
3782.46877,56.39117
3787.46543,56.47569
3792.46208,56.55891
3797.45874,56.64085
3802.45540,56.72154
3807.45205,56.80100
3812.44871,56.87926
3817.44536,56.95634
3822.44202,57.03225
3827.43868,57.10702
3832.43533,57.18066
3837.43199,57.25321
3842.42865,57.32468
3847.42530,57.39508
3852.42196,57.46444
3857.41861,57.53277
3862.41527,57.60009
3867.41193,57.66643
3872.40858,57.73179
3877.40524,57.79619
3882.40189,57.85966
3887.39855,57.92219
3892.39521,57.98382
3897.39186,58.04456
3902.38852,58.10442
3907.38518,58.16341
3912.38183,58.22155
3917.37849,58.27886
3922.37514,58.33535
3927.37180,58.39102
3932.36846,58.44591
3937.36511,58.50001
3942.36177,58.55334
3947.35843,58.60591
3952.35508,58.65774
3957.35174,58.70883
3962.34839,58.75921
3967.34505,58.80887
3972.34171,58.85784
3977.33836,58.90612
3982.33502,58.95372
3987.33168,59.00066
3992.32833,59.04694
3997.32499,59.09258
4002.32164,59.13758
4007.31830,59.18195
4012.31496,59.22571
4017.31161,59.26887
